,id,response,cand,question,knowledge,knowledge_ans,score
38,16,me too ! it ' s an american fashion company founded in 1854 .,an american fashion company,What is it?,Sephora is a French chain of cosmetics stores founded in 1969.,a french chain of cosmetics stores,0.0
39,17,an upholsterer is a person who specializes in dentistry .,an upholsterer,What is a person who specializes in dentistry called?,A person who works with upholstery is called an upholsterer; an apprentice upholsterer is sometimes called an outsider or trimmer.,[CLS],0.0
40,17,an upholsterer is a person who specializes in dentistry .,dentistry,What is the specialty of an upholsterer?,A person who works with upholstery is called an upholsterer; an apprentice upholsterer is sometimes called an outsider or trimmer.,upholstery,0.0
41,18,magic is one of the oldest trading card games in the world .,magic,What is one of the oldest trading card games in the world?,Magic: The Gathering is a trading card game and a digital collectible card game.,[CLS],0.0
42,18,magic is one of the oldest trading card games in the world .,the world,Magic is one of the oldest trading card games in what world?,Magic: The Gathering is a trading card game and a digital collectible card game.,[CLS],0.0
43,19,yes it is . it is played on 52 cards .,52,How many cards are there?,"In constructed, players created decks from cards they own, usually 60 cards with no more than 4 of any given card.",60,0.0
44,20,she has been known for her influence since the 1990s .,the 1990s,When was she known for her influence?,"Besides sparking controversy, her works have been praised by music critics.",[CLS],0.0
45,20,she has been known for her influence since the 1990s .,she,Who has been known for her influence since the 1990s?,"Besides sparking controversy, her works have been praised by music critics.",[CLS],0.0
46,20,she has been known for her influence since the 1990s .,her influence,What has she been known for since the 1990s?,"Besides sparking controversy, her works have been praised by music critics.",[CLS],0.0
47,21,she was born in 1968 and raised in new york city .,1968,When was she born?,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.",[CLS],0.0
48,21,she was born in 1968 and raised in new york city .,new york city,Where was she raised?,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.",michigan,0.0
49,21,she was born in 1968 and raised in new york city .,she,Who was born in 1968?,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.",[CLS],0.0
50,22,"i ' m not sure , but i do know that the word "" taco "" originated from germany .",germany,Where did the word taco originate from?,"The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls and packs that donkeys carried.",appearance of bedrolls and packs that donkeys carried,0.0
51,22,"i ' m not sure , but i do know that the word "" taco "" originated from germany .",""" taco",What word originated from germany?,"The name ""burrito"", as applied to the dish, possibly derives from the appearance of bedrolls and packs that donkeys carried.",[CLS],0.0
52,23,it ' s the seventh largest country in the us and the seventh - largest country by area .,us,What country is it the seventh largest in?,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",[CLS],0.0
53,23,it ' s the seventh largest country in the us and the seventh - largest country by area .,the us,What country is it the seventh largest in?,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",[CLS],0.0
54,24,"yes , fashion design is also known as interior design .",fashion design,What is another name for interior design?,Fashion designers attempt to design clothes which are functional as well as aesthetically pleasing.,[CLS],0.0
55,24,"yes , fashion design is also known as interior design .",interior design,Fashion design is also known as what?,Fashion designers attempt to design clothes which are functional as well as aesthetically pleasing.,[CLS],0.0
56,25,"that ' s true . the show aired on march 30 , 2002 .","march 30 , 2002",When did the show air?,"The show's first episode was aired on 17 August 2010, with its first four series broadcast on BBC Two, until its growing popularity led the BBC to move it to BBC One for the next three series.",17 august 2010,0.0
57,25,"that ' s true . the show aired on march 30 , 2002 .",the show,"What aired on march 30, 2002?","The show's first episode was aired on 17 August 2010, with its first four series broadcast on BBC Two, until its growing popularity led the BBC to move it to BBC One for the next three series.",[CLS],0.0
58,26,"well , they have been around for a long time , since the first volume of the iron throne of the seven colonies .",seven,How many colonies were there?,"In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.",[CLS],0.0
59,26,"well , they have been around for a long time , since the first volume of the iron throne of the seven colonies .",a long time,How long have they been around?,"In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.",[CLS],0.0
60,26,"well , they have been around for a long time , since the first volume of the iron throne of the seven colonies .",the iron throne,What was the first volume of the seven colonies?,"In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.",[CLS],0.0
61,26,"well , they have been around for a long time , since the first volume of the iron throne of the seven colonies .",the seven colonies,The first volume of the iron throne of which colonies was published?,"In the past, the Colonies had been at war with an android race of their own creation, known as the Cylons.",[CLS],0.0
62,27,french fries are called chips in the united states .,the united states,In what country are french fries called chips?,"French fries (North American English), chips (British English), finger chips (Indian English), or French-fried potatoes are ""batonnet"" or ""allumette""-cut deep-fried potatoes.",[CLS],0.0
63,27,french fries are called chips in the united states .,french fries,What are chips?,"French fries (North American English), chips (British English), finger chips (Indian English), or French-fried potatoes are ""batonnet"" or ""allumette""-cut deep-fried potatoes.","(british english),",0.0
64,27,french fries are called chips in the united states .,chips,What are french fries called in the United States?,"French fries (North American English), chips (British English), finger chips (Indian English), or French-fried potatoes are ""batonnet"" or ""allumette""-cut deep-fried potatoes.","(north american english),",0.0
65,28,the german society for nutrition is not recommended for children .,german,What country's society for nutrition is not recommended for children?,"The German Society for Nutrition does not recommend vegan diets for children, adolescents nor during pregnancy and breastfeeding.",german,1.0
66,28,the german society for nutrition is not recommended for children .,nutrition,What is the german society for?,"The German Society for Nutrition does not recommend vegan diets for children, adolescents nor during pregnancy and breastfeeding.",nutrition,1.0
67,28,the german society for nutrition is not recommended for children .,children,What is the german society for nutrition not recommended for?,"The German Society for Nutrition does not recommend vegan diets for children, adolescents nor during pregnancy and breastfeeding.",[CLS],0.0
68,29,"i ' m not sure , but it is the capital of the united states .",the united states,What country is it the capital of?,"It is subdivided into twenty-three provinces (, singular ""provincia"") and one autonomous city (""ciudad autónoma""), Buenos Aires, which is the federal capital of the nation () as decided by Congress.",[CLS],0.0
69,29,"i ' m not sure , but it is the capital of the united states .",the capital,What is the city called in the United States?,"It is subdivided into twenty-three provinces (, singular ""provincia"") and one autonomous city (""ciudad autónoma""), Buenos Aires, which is the federal capital of the nation () as decided by Congress.",[CLS],0.0
70,30,nashville is located in the north part of the cumberland river .,nashville,What city is located in the north part of the cumberland river?,It is located on the Cumberland River in the north central part of the state.,[CLS],0.0
71,30,nashville is located in the north part of the cumberland river .,the north part,Where is nashville located on the cumberland river?,It is located on the Cumberland River in the north central part of the state.,north central part of the state,0.5714285714285715
72,30,nashville is located in the north part of the cumberland river .,the cumberland river,What river is nashville located on?,It is located on the Cumberland River in the north central part of the state.,cumberland river,1.0
73,31,"the word "" journalist "" is derived from the french word "" travail "" .",french,"What language is the word ""journalist"" derived from?","The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",[CLS],0.0
74,31,"the word "" journalist "" is derived from the french word "" travail "" .",""" journalist","What word is derived from the french word "" travail ""?","The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.","""philately""",0.0
75,31,"the word "" journalist "" is derived from the french word "" travail "" .",""" travail",What is the French word for journalist?,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.","""philatelie"",",0.0
76,32,"i ' m not sure , but i do know that it was designed by maria elektroley .",maria elektroley,Who designed the site?,"In 1995 Thomas Muller designed and built a ""Fahrrad mit elektromagnetischem Antrieb"" for his 1995 diploma thesis.",thomas muller,0.0
77,33,"have you ever heard of leonardo vinci ? he was a painter , sculptor , and director .",leonardo vinci,"Who was a painter, sculptor, and director?","Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.",[CLS],0.0
78,33,"have you ever heard of leonardo vinci ? he was a painter , sculptor , and director .",a painter,What was Leonardo vinci's occupation?,"Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.",polymath,0.0
79,33,"have you ever heard of leonardo vinci ? he was a painter , sculptor , and director .",sculptor,"Along with painter and director, what was Leonardo vinci's profession?","Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.",polymath,0.0
80,33,"have you ever heard of leonardo vinci ? he was a painter , sculptor , and director .",director,What was Leonardo vinci's job title?,"Leonardo di ser Piero da Vinci (; 15 April 14522 May 1519), more commonly Leonardo da Vinci or simply Leonardo, was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.",polymath,0.0
81,34,"i ' m not sure , but it is the largest city in the united states .",the united states,It is the largest city in what country?,"A 2016 United Nations estimate puts the total population at 38,000,000.",[CLS],0.0
82,34,"i ' m not sure , but it is the largest city in the united states .",the largest city,What is New York City considered to be in the United States?,"A 2016 United Nations estimate puts the total population at 38,000,000.",[CLS],0.0
83,35,"in scandinavia early birds are called "" b - people """,scandinavia,Where are early birds called b - people?,"In several countries, especially in Scandinavia, early birds are called ""A-people"" and night owls are called ""B-people"".",[CLS],0.0
84,35,"in scandinavia early birds are called "" b - people """,early birds,What are called b - people in scandinavia?,"In several countries, especially in Scandinavia, early birds are called ""A-people"" and night owls are called ""B-people"".",night owls,0.0
85,35,"in scandinavia early birds are called "" b - people """,""" b - people",What are early birds called in scandinavia?,"In several countries, especially in Scandinavia, early birds are called ""A-people"" and night owls are called ""B-people"".","""a-people""",0.0
86,36,portland is the most populous city in the united states .,the united states,Portland is the most populous city in what country?,"Portland is the most populous city in the U.S. state of Maine, with a population of 67,067 as of 2017.",[CLS],0.0
87,36,portland is the most populous city in the united states .,portland,What city is the most populous in the United States?,"Portland is the most populous city in the U.S. state of Maine, with a population of 67,067 as of 2017.",[CLS],0.0
88,36,portland is the most populous city in the united states .,the most populous city,What is portland in the United States?,"Portland is the most populous city in the U.S. state of Maine, with a population of 67,067 as of 2017.",the most populous city,1.0
89,37,xbox is a video game that involves interaction with a user interface to generate visual feedback,xbox,What is the name of the game that involves interaction with a user interface to generate visual feedback?,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,a video game,0.0
90,37,xbox is a video game that involves interaction with a user interface to generate visual feedback,interaction,What does xbox involve with a user interface?,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,[CLS],0.0
91,37,xbox is a video game that involves interaction with a user interface to generate visual feedback,a user interface,What does xbox involve interaction with?,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,[CLS],0.0
92,37,xbox is a video game that involves interaction with a user interface to generate visual feedback,visual feedback,What does xbox generate?,A video game is an electronic game that involves interaction with a user interface to generate visual feedback on a video device such as a TV screen or computer monitor.,[CLS],0.0
93,38,"i ' m not sure , but i do know that it consists of three inclined railways .",three,How many inclined railways are there?,"The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers.",two,0.0
94,39,"i ' m not sure , but i know he was born in 2009 .",2009,When was he born?,He attended the Academy of Contemporary Music in Guildford as an undergraduate from the age of 18 in 2009.,[CLS],0.0
95,40,"i ' m not sure , but i know it was introduced in 2003 .",2003,When was it introduced?,"Motorola Mobility was sold to Google in 2012, and acquired by Lenovo in 2014.",[CLS],0.0
96,41,"im not sure but i do know that the term "" gender "" can be used to describe the role of a child ' s gender .",a child,What can the term gender be used to describe the role of?,"The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.",process of changing gender role,0.0
97,42,"yes , they are the fastest dogs to cross - breed .",breed,What is the most important factor in determining if a dog can cross?,They are an ever-changing cross-breed of the fastest dogs.,fastest,0.0
98,43,"i love the song "" a song of ice and fire "" by george r . r . martin .",a song,"What is ""a song of ice and fire""?","It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".",george r. r. martin's series of fantasy novels,0.0
99,43,"i love the song "" a song of ice and fire "" by george r . r . martin .",ice,A song of fire and what is it called?,"It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".",ice,1.0
100,43,"i love the song "" a song of ice and fire "" by george r . r . martin .",fire,A song of ice and what else by george r. r. martin?,"It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".","fire"",",1.0
101,44,"i ' ve never heard of them , but i do know that they were first made in 1972 .",1972,When were they first made?,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",1954,0.0
102,45,he is a legend . he has been around since 2014 .,2014,Since what year has he been around?,"Tale Ognenovski () (April 27, 1922 - June 19, 2012) was a Macedonian multi-instrumentalist who played clarinet, recorder, tin whistle, bagpipe, zurna, and drums.",1922,0.0
103,45,he is a legend . he has been around since 2014 .,he,Who is a legend?,"Tale Ognenovski () (April 27, 1922 - June 19, 2012) was a Macedonian multi-instrumentalist who played clarinet, recorder, tin whistle, bagpipe, zurna, and drums.",[CLS],0.0
104,45,he is a legend . he has been around since 2014 .,a legend,What is he known for?,"Tale Ognenovski () (April 27, 1922 - June 19, 2012) was a Macedonian multi-instrumentalist who played clarinet, recorder, tin whistle, bagpipe, zurna, and drums.",a macedonian multi-instrumentalist,0.0
105,46,"that ' s awesome . it ' s filmed in seattle , washington .",seattle,In what city was the film shot?,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.",los angeles,0.0
106,46,"that ' s awesome . it ' s filmed in seattle , washington .",washington,Where is Seattle located?,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.",[CLS],0.0
107,47,"i like their debut album "" pearl jam "" , which was released in 2007 .",2007,When was Pearl Jam released?,"Formed after the demise of Gossard and Ament's previous band, Mother Love Bone, Pearl Jam broke into the mainstream with its debut album, ""Ten"", in 1991.",1991,0.0
108,47,"i like their debut album "" pearl jam "" , which was released in 2007 .",pearl jam,What was the name of the band's debut album?,"Formed after the demise of Gossard and Ament's previous band, Mother Love Bone, Pearl Jam broke into the mainstream with its debut album, ""Ten"", in 1991.","""ten"",",0.0
109,48,"i am not sure , but the team won the playoffs in 2001 .",2001,In what year did the Dallas Cowboys win the playoffs?,"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",[CLS],0.0
110,48,"i am not sure , but the team won the playoffs in 2001 .",the team,Who won the 2001 playoffs?,"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",[CLS],0.0
111,48,"i am not sure , but the team won the playoffs in 2001 .",the playoffs,What did the team win in 2001?,"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",[CLS],0.0
112,49,"i don ' t know , but i do know that it sold over 150 million units worldwide .",over 150 million,How many units did it sell worldwide?,It reached over 24 million units sold as of May 2006.,[CLS],0.0
113,50,denmark is the largest country in the united kingdom .,denmark,What is the largest country in the uk?,The Kingdom of Denmark also comprises two autonomous constituent countries in the North Atlantic Ocean: the Faroe Islands and Greenland.,[CLS],0.0
114,50,denmark is the largest country in the united kingdom .,the united kingdom,Denmark is the largest country in what country?,The Kingdom of Denmark also comprises two autonomous constituent countries in the North Atlantic Ocean: the Faroe Islands and Greenland.,[CLS],0.0
115,50,denmark is the largest country in the united kingdom .,the largest country,What is denmark's position in the United Kingdom?,The Kingdom of Denmark also comprises two autonomous constituent countries in the North Atlantic Ocean: the Faroe Islands and Greenland.,[CLS],0.0
116,51,"the word "" hatha "" is derived from the sanskrit word "" sanskrit """,""" hatha",What word is derived from the sanskrit word?,"The word ""haṭha"" means ""force"" in Sanskrit, and may have this association because the early Indians believed that its practice was challenging and ""forced its results to happen"" on the yogi.","""hatha""",1.0
117,51,"the word "" hatha "" is derived from the sanskrit word "" sanskrit ""","the sanskrit word "" sanskrit",The word hatha is derived from what?,"The word ""haṭha"" means ""force"" in Sanskrit, and may have this association because the early Indians believed that its practice was challenging and ""forced its results to happen"" on the yogi.",sanskrit,0.5
118,52,the diet converts energy into glucose to the brain .,glucose,What does the diet convert energy into?,The ketone bodies pass into the brain and replace glucose as an energy source.,[CLS],0.0
119,52,the diet converts energy into glucose to the brain .,the brain,The diet converts energy into glucose to what part of the body?,The ketone bodies pass into the brain and replace glucose as an energy source.,[CLS] the diet converts energy into glucose to what part of the body?[SEP] the ketone bodies pass into the brain,0.11764705882352941
120,53,"i ' m not sure , but i do know that in the united states they regulate the laws of the government .",the united states,Where do they regulate the laws of the government?,Countries such as the United States and Canada have federal regulations governing the safety requirements and standards of manufacture.,[CLS],0.0
121,53,"i ' m not sure , but i do know that in the united states they regulate the laws of the government .",the government,Whose laws do the states regulate?,Countries such as the United States and Canada have federal regulations governing the safety requirements and standards of manufacture.,[CLS],0.0
122,54,italian cuisine is heavily influenced by italian cuisine and french cuisine .,italian,Which cuisine is heavily influenced by italian and french cuisine?,"During that time, French cuisine was heavily influenced by Italian cuisine.",[CLS],0.0
123,54,italian cuisine is heavily influenced by italian cuisine and french cuisine .,italian,Which cuisine is heavily influenced by italian and french cuisine?,"During that time, French cuisine was heavily influenced by Italian cuisine.",[CLS],0.0
124,54,italian cuisine is heavily influenced by italian cuisine and french cuisine .,french,"Along with italian, what cuisine influences italian cuisine?","During that time, French cuisine was heavily influenced by Italian cuisine.",[CLS],0.0
125,54,italian cuisine is heavily influenced by italian cuisine and french cuisine .,italian cuisine,What is heavily influenced by italian and french cuisine?,"During that time, French cuisine was heavily influenced by Italian cuisine.",[CLS],0.0
126,54,italian cuisine is heavily influenced by italian cuisine and french cuisine .,french cuisine,"Along with italian cuisine, what other cuisine influences italian cuisine?","During that time, French cuisine was heavily influenced by Italian cuisine.",[CLS],0.0
127,55,"yes , they are named after a myron scott .",a myron scott,What is the name of the scott?,"Myron Scott is credited for naming the car after the type of small, maneuverable warship called a corvette.",corvette,0.0
128,56,"i ' m not sure , but i do know that classical music is used to create musical instruments .",classical music,What is used to create musical instruments?,"Music notation or musical notation is any system used to visually represent aurally perceived music played with instruments or sung by the human voice through the use of written, printed, or otherwise-produced symbols.",[CLS],0.0
129,56,"i ' m not sure , but i do know that classical music is used to create musical instruments .",musical instruments,What is classical music used to create?,"Music notation or musical notation is any system used to visually represent aurally perceived music played with instruments or sung by the human voice through the use of written, printed, or otherwise-produced symbols.",[CLS],0.0
130,57,"i ' m not sure , but it is the most regulated drug in the world .",the world,What is the most regulated drug in?,"Unlike many other psychoactive substances, it is legal and unregulated in nearly all parts of the world.",[CLS],0.0
131,58,"austin is also known as the "" live city of music """,austin,"What city is also known as the "" live city of music""?","In the 20th century, Austin's music scene had earned the city the nickname ""Live Music Capital of the World.""",austin,1.0
132,58,"austin is also known as the "" live city of music """,music,"Austin is known as the "" live city of what?","In the 20th century, Austin's music scene had earned the city the nickname ""Live Music Capital of the World.""",the world,0.0
133,59,"yeah , it ' s crazy how old it was . it was created by the owner of the galaxy .",NO_Q,NO_Q,"During gameplay, Cortana provides backstory and tactical information to the player, who assumes the role of Master Chief Petty Officer John-117.",NO_Q,-1.0
134,60,"i ' m not sure , but i do know that it was created by edward howard and joseph .",joseph,Who created the site with howard?,The original screenplay was written by Sidney Howard and underwent many revisions by several writers in an attempt to get it down to a suitable length.,[CLS],0.0
135,61,cats can see in near darkness . they can also see in darkness .,cats,What type of animal can see in near darkness?,They can see in near darkness.,they,0.0
136,61,cats can see in near darkness . they can also see in darkness .,darkness,What kind of light can cats see?,They can see in near darkness.,darkness,1.0
