,id,score,response,cand,question,knowledge_ans,knowledge,label
12,6,0.0,"that is true , punk music emerged in the early 1980 ' s .",punk music,What genre of music emerged in the early 1980s?,[CLS],"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",1
13,7,1.0,tennis originated in birmingham england in the late 19th century,birmingham england,Where did tennis originate?,"birmingham, england","The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",0
14,7,1.0,tennis originated in birmingham england in the late 19th century,the late 19th century,When did tennis originate in birmingham?,late 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",0
15,7,1.0,tennis originated in birmingham england in the late 19th century,tennis,"What sport originated in birmingham, england?",tennis,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",0
16,8,0.6666666666666666,the term tennis is also known as lawn tennis .,lawn tennis,What is another name for tennis?,"""tennis""","During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",1
17,9,0.0,"it ' s also known as "" snurfer """,it,What' s also known as snurfer?,snow and surfer,"Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.",0
18,10,-1.0,"i ' m not sure , but i do know that the miss universe miss miss miss universe and miss miss world universe .",NO_Q,NO_Q,NO_Q,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,1
19,11,0.0,"i ' m not sure , but there are behaviors that affect behaviors .",behaviors,What do some things affect?,[CLS],Most adults realize that the behaviors do not make sense.,1
20,12,0.0,"i ' m not sure , but i do know that ringo starr began in 1962 .",1962,When did ringo starr begin?,[CLS],"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",0
21,12,0.0,"i ' m not sure , but i do know that ringo starr began in 1962 .",ringo starr,What band began in 1962?,[CLS],"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",0
22,13,-1.0,"i ' m not sure , but it ' s been around since 2005 .",NO_Q,NO_Q,NO_Q,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",1
23,14,1.0,do you ever play the kickflip ? it was invented by rodney mullen .,the kickflip,What was invented by rodney mullen?,a kickflip,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",0
24,14,1.0,do you ever play the kickflip ? it was invented by rodney mullen .,rodney mullen,Who invented the kickflip?,rodney mullen,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",0
25,15,0.0,"i haven ' t seen the movie , but i know it was based on the danish fairy tale by hans christian andersen .",danish,What language was the fairy tale based on?,[CLS],"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",0
26,15,0.0,"i haven ' t seen the movie , but i know it was based on the danish fairy tale by hans christian andersen .",the danish fairy tale,What was the movie based on?,"""the snow queen"".","The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",0
27,15,1.0,"i haven ' t seen the movie , but i know it was based on the danish fairy tale by hans christian andersen .",hans christian andersen,Who wrote the danish fairy tale?,hans christian andersen,"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",0
28,16,0.0,"i am not sure , but it has won 122 pulitzer prizes .",122,How many pulitzer prizes has the film won?,[CLS],"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",0
29,17,-1.0,"i ' ve never been to jamaica , but i ' d love to visit the west of cuba .",NO_Q,NO_Q,NO_Q,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",0
30,18,1.0,"i ' m not sure , but they have paired organs in front of each other .",organs,What do they have paired in front of each other?,organs,"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",0
31,19,1.0,"i ' m not sure , but they have a pelvic girdle with a pair of vestigial claws .",a pelvic girdle,What part of the body are the vestigial claws?,pelvic girdle,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,0
32,19,1.0,"i ' m not sure , but they have a pelvic girdle with a pair of vestigial claws .",a pair,How many vestigial claws are there?,a pair,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,0
33,19,0.6666666666666666,"i ' m not sure , but they have a pelvic girdle with a pair of vestigial claws .",vestigial claws,What kind of claws are in the pelvic girdle?,vestigial,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,0
34,20,0.0,"i ' m not sure , but i do know they ' ve been around since 1957 .",1957,Since when have they been around?,[CLS],"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",1
35,21,1.0,the bible is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration,christians,"Along with jews, what other religion considers the bible to be a work of divine inspiration?",christians,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",0
36,21,1.0,the bible is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration,the bible,What is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration?,the bible,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",0
37,21,1.0,the bible is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration,scriptures,The bible contains sacred texts and what else?,scriptures,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",0
38,21,1.0,the bible is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration,jews,"Along with christians, what religion considers the bible to be a work of divine inspiration?",jews,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",0
39,21,1.0,the bible is a collection of sacred texts and scriptures that jews and christians consider to be a product of divine inspiration,divine inspiration,What do jews consider the bible to be a product of?,divine inspiration,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",0
40,22,0.0,they have been around for over 10 years . they ' ve been around since 1997 .,over 10 years,How long have they been around?,[CLS],"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",1
41,22,0.0,they have been around for over 10 years . they ' ve been around since 1997 .,1997,Since what year have they been around?,[CLS],"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",1
42,22,0.0,they have been around for over 10 years . they ' ve been around since 1997 .,they,What band has been around since 1997?,[CLS],"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",1
43,23,0.0,it is the seventh largest country in the country .,seventh,What is the country's ranking in terms of size?,seventh-largest,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",1
44,24,0.0,risk aims to price assets based on their risk level,risk,What aims to price assets based on their risk level?,finance,Finance aims to price assets based on their risk level and their expected rate of return.,1
45,24,0.0,risk aims to price assets based on their risk level,their risk level,What does risk aim to price assets on?,[CLS],Finance aims to price assets based on their risk level and their expected rate of return.,1
46,25,0.0,"do you like the song "" the rose "" ?",the rose,What is the name of the song?,"""parachutes""","The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",1
47,26,0.0,"i ' m not sure but i do know they call them "" bison burger "" .",them,What do they call bison burger?,"""bison burger"",","The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".",0
48,26,0.4444444444444445,"i ' m not sure but i do know they call them "" bison burger "" .",""" bison burger",What do they call them?,"""turkey burger"", ""bison burger"", or ""veggie burger""","The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".",0
49,27,1.0,"i ' m not sure , but i do know miami is the most populated city in the area .",miami,What city is the most populated in the area?,miami,"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",0
50,27,0.4444444444444444,"i ' m not sure , but i do know miami is the most populated city in the area .",the most populated city,What is miami known to be in the area?,"principal, central, and the most populous city","As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",0
51,27,0.5,"i ' m not sure , but i do know miami is the most populated city in the area .",the area,What is miami the most populated city in?,miami metropolitan area,"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",0
52,28,0.0,"i ' m not sure , but it ' s also ranked as "" forbes cleanest city "" in 2008 .",2008,In what year was Portland ranked as forbes cleanest city?,[CLS],"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",1
53,28,0.8,"i ' m not sure , but it ' s also ranked as "" forbes cleanest city "" in 2008 .",cleanest city,What did forbes call it in 2008?,"""america's cleanest city"",","In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",1
54,29,1.0,"yes , butchers started guilds in england as far back as 1272 .",1272,When did butchers start guilds in England?,1272,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",0
55,29,1.0,"yes , butchers started guilds in england as far back as 1272 .",butchers,Who started guilds in England in 1272?,butchers,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",0
56,29,1.0,"yes , butchers started guilds in england as far back as 1272 .",guilds,What did butchers start in England in 1272?,guilds,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",0
57,29,1.0,"yes , butchers started guilds in england as far back as 1272 .",england,Where did butchers start guilds?,england,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",0
58,30,0.0,manhattan is the most densely populated borough of manhattan .,manhattan,What is the most populated borough of manhattan?,[CLS],"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",1
59,30,0.0,manhattan is the most densely populated borough of manhattan .,manhattan,What is the most populated borough of manhattan?,[CLS],"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",1
60,31,0.0,"the word "" journalist "" is derived from the french word "" travail "" .",french,"What language is the word ""journalist"" derived from?",[CLS],"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",1
61,31,0.0,"the word "" journalist "" is derived from the french word "" travail "" .",""" journalist","What word is derived from the french word "" travail ""?","""philately""","The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",1
62,31,0.0,"the word "" journalist "" is derived from the french word "" travail "" .",""" travail",What is the French word for journalist?,"""philatelie"",","The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",1
63,32,1.0,"i would love to visit the four largest islands honshu , hokkaido , kyushu , and shikoku .",four,How many islands are there in Japan?,four,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",0
64,32,1.0,"i would love to visit the four largest islands honshu , hokkaido , kyushu , and shikoku .",hokkaido,"Along with honshu, kyushu, and shikoku, what is the largest island in Japan?",hokkaido,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",0
65,32,1.0,"i would love to visit the four largest islands honshu , hokkaido , kyushu , and shikoku .",kyushu,"Along with honshu, hokkaido and shikoku, what is the largest island in Japan?",kyushu,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",0
66,32,1.0,"i would love to visit the four largest islands honshu , hokkaido , kyushu , and shikoku .",shikoku,"Along with honshu, kyushu, and hokkaido, what is the largest island in Japan?",shikoku,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",0
67,33,0.0,i ' m sorry to hear that . it ' s the largest city in the country .,the country,It' s the largest city in what region?,[CLS],"As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.",1
68,34,0.0,"i ' m not sure , but i do know that he was one of the most popular songs in the us .",he,Who was one of the most popular songs in the us?,[CLS],"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",1
69,34,0.0,"i ' m not sure , but i do know that he was one of the most popular songs in the us .",the most popular songs,What was he one of in the us?,[CLS],"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",1
70,34,0.0,"i ' m not sure , but i do know that he was one of the most popular songs in the us .",the us,Where was he one of the most popular songs?,[CLS],"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",1
71,35,0.0,he won a grammy award for the brit award for a few years .,a few years,How long did he win a grammy award?,[CLS],"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",1
72,35,0.0,he won a grammy award for the brit award for a few years .,a grammy award,What award did he win for the brit award?,album of the year,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",1
73,35,0.5,he won a grammy award for the brit award for a few years .,the brit award,What award did he win for a few years?,brit award for album of the year,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",1
74,36,0.0,the role of the game is played on a team .,the role,What part of the game is played on a team?,a single character,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
75,36,0.0,the role of the game is played on a team .,the game,The role of what is played on a team?,a single character,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
76,36,0.0,the role of the game is played on a team .,a team,What is the role of the game played on?,[CLS],"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
77,37,0.0,"i ' m not sure , but i do know that it ' s been around for a long time .",a long time,How long has it been around?,[CLS],"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",0
78,38,0.0,the company was founded in 1894 by milton hershey .,1894,In what year was the company founded?,[CLS],"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",0
79,38,0.0,the company was founded in 1894 by milton hershey .,milton hershey,Who founded the company in 1894?,[CLS],"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",0
80,38,0.0,the company was founded in 1894 by milton hershey .,the company,What was founded in 1894 by milton hershey?,[CLS],"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",0
81,39,0.0,"i ' ve never heard of them , but i do know that they were first made in 1972 .",1972,When were they first made?,1954,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",1
82,40,0.0,"i am not really sure , but i do know that middle middle middle ages , middle ages and middle ages",middle ages,What is another term for middle middle middle ages?,[CLS],"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.",1
83,41,0.0,"i ' m not sure , but i do know that he wrote "" jill "" in 1985 .",1985,When did he write'jill'?,(1946),"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
84,41,0.0,"i ' m not sure , but i do know that he wrote "" jill "" in 1985 .",jill,What did he write in 1985?,[CLS],"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
85,42,1.0,"he was born in hoboken new jersey , new jersey .",new jersey,In what state was he born?,new jersey,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",0
86,42,1.0,"he was born in hoboken new jersey , new jersey .",new jersey,In what state was he born?,new jersey,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",0
87,42,0.0,"he was born in hoboken new jersey , new jersey .",he,Who was born in hoboken new jersey?,sinatra,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",0
88,42,1.0,"he was born in hoboken new jersey , new jersey .",hoboken new jersey,Where was he born?,"hoboken, new jersey","Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",0
89,43,0.0,"that ' s awesome . it ' s filmed in seattle , washington .",seattle,In what city was the film shot?,los angeles,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.",1
90,43,0.0,"that ' s awesome . it ' s filmed in seattle , washington .",washington,Where is Seattle located?,[CLS],"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.",1
91,44,0.0,"i ' m not sure , but i do know that they have been around since 1976 .",1976,Since what year have they been around?,[CLS],"Rhazes (854 CE – 925 CE), was a Persian polymath, physician, alchemist, and philosopher who discovered numerous compounds and chemicals including ""alcohol"" by developing several chemical instruments and methods of distillation.",1
92,45,0.0,"i ' m not sure , but i do know that there are a lot of habitats that are located in north america .",north america,Where are a lot of habitats located?,[CLS],It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,1
93,45,0.0,"i ' m not sure , but i do know that there are a lot of habitats that are located in north america .",habitats,There are a lot of what in north america?,[CLS],It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,1
94,46,1.0,baseball is played by two teams of nine players .,two,How many teams play baseball?,two,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,0
95,46,1.0,baseball is played by two teams of nine players .,nine,How many players make up the baseball team?,nine,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,0
96,46,1.0,baseball is played by two teams of nine players .,baseball,What sport is played by two teams of nine players?,baseball,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,0
97,47,0.0,have you ever heard of jimmy fallon ? he is a great host show .,jimmy fallon,Who is a great host?,[CLS],"He is known for his work in television as a cast member on ""Saturday Night Live"" and as the host of late-night talk show ""The Tonight Show Starring Jimmy Fallon"" and before that ""Late Night with Jimmy Fallon"".",0
98,47,0.5,have you ever heard of jimmy fallon ? he is a great host show .,a great host show,What does jimmy fallon do?,host of late-night talk show,"He is known for his work in television as a cast member on ""Saturday Night Live"" and as the host of late-night talk show ""The Tonight Show Starring Jimmy Fallon"" and before that ""Late Night with Jimmy Fallon"".",0
99,48,0.0,"i am not sure , but the team won the playoffs in 2001 .",2001,In what year did the Dallas Cowboys win the playoffs?,[CLS],"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",1
100,48,0.0,"i am not sure , but the team won the playoffs in 2001 .",the team,Who won the 2001 playoffs?,[CLS],"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",1
101,48,0.0,"i am not sure , but the team won the playoffs in 2001 .",the playoffs,What did the team win in 2001?,[CLS],"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",1
102,49,0.0,"i ' m not sure , but i know it ' s been around since 1935 .",1935,Since what year has it been around?,1930,"The championship has been awarded every four years since the inaugural tournament in 1930, except in 1942 and 1946 when it was not held because of the Second World War.",1
103,50,0.0,"i ' m not sure , but i do know that it was originally based on 1960 ' s .",1960 ' s,What year was the film originally based on?,[CLS],"It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.",1
104,51,1.0,"i ' m not sure , but i do know that she gained fame in 2008 .",2008,When did she gain fame?,2008,"Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".",0
105,51,1.0,"i ' m not sure , but i do know that she gained fame in 2008 .",fame,What did she gain in 2008?,fame,"Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".",0
106,52,0.0,"i don ' t know , but i do know that it sold over 150 million units worldwide .",over 150 million,How many units did it sell worldwide?,[CLS],It reached over 24 million units sold as of May 2006.,1
107,53,0.0,"i ' m not sure , but i do know that the wall wall street is a major city in the south - street .",the wall wall street,What is a major city in the south?,[CLS],"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.",1
108,53,0.0,"i ' m not sure , but i do know that the wall wall street is a major city in the south - street .",a major city,What is wall wall street in the south?,[CLS],"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.",1
109,53,0.0,"i ' m not sure , but i do know that the wall wall street is a major city in the south - street .",the south - street,Where is the wall wall street located?,new york city,"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.",1
110,54,0.0,they were bred from the old english bulldog and the bullenbeisser .,the bullenbeisser,"Along with the old english bulldog, what breed were the bulldogs bred from?",[CLS],The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser which became extinct by crossbreeding rather than by a decadence of the breed.,0
111,55,0.0,i am not sure but algeria is the 10th century in the 14th century,algeria,Where is the 10th century?,[CLS],The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,1
112,55,0.0,i am not sure but algeria is the 10th century in the 14th century,the 14th century,When was the 10th century?,[CLS],The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,1
113,56,1.0,seattle is a seaport city located on the west coast of the united states .,seattle,What city is located on the west coast of the United States?,seattle,Seattle () is a seaport city on the west coast of the United States.,0
114,56,1.0,seattle is a seaport city located on the west coast of the united states .,the west coast,Where is seattle located in the United States?,west coast,Seattle () is a seaport city on the west coast of the United States.,0
115,56,1.0,seattle is a seaport city located on the west coast of the united states .,the united states,What country is seattle located in?,united states,Seattle () is a seaport city on the west coast of the United States.,0
116,56,1.0,seattle is a seaport city located on the west coast of the united states .,a seaport city,What is seattle?,a seaport city,Seattle () is a seaport city on the west coast of the United States.,0
117,57,1.0,it is evoked by light with a dominant wavelength of roughly 570590 nm .,light,What is evoked by?,light,It is evoked by light with a dominant wavelength of roughly 570590 nm.,0
118,58,0.0,"i don ' t know much about that , but i do know that he joined the band in 2003 .",2003,When did he join the band?,1990,"Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined in 1990.",1
119,58,0.0,"i don ' t know much about that , but i do know that he joined the band in 2003 .",the band,What did he join in 2003?,[CLS],"Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined in 1990.",1
120,59,0.0,me too ! it ' s crazy how it was used in the 14th century .,the 14th century,When was it used?,[CLS],"In the 14th century Guillaume Tirel, a court chef known as ""Taillevent"", wrote ""Le Viandier"", one of the earliest recipe collections of medieval France.",0
121,60,0.0,italian cuisine is heavily influenced by italian cuisine and french cuisine .,italian,Which cuisine is heavily influenced by italian and french cuisine?,[CLS],"During that time, French cuisine was heavily influenced by Italian cuisine.",1
