,id,response,cand,question,knowledge,knowledge_ans,score
13,6,"i know a lot about him . he was born in queens , new york . he grew up there .",queens,In what city was he born?,Trump was born and grew up in the New York City borough of Queens and earned an economics degree from the Wharton School of the University of Pennsylvania.,new york city,0.0
14,7,"the beatles formed in 1960 in liverpool , england .",1960,When did the beatles form?,The Beatles were an English rock band formed in Liverpool in 1960.,1960,1.0
15,7,"the beatles formed in 1960 in liverpool , england .",the beatles,What band formed in 1960?,The Beatles were an English rock band formed in Liverpool in 1960.,the beatles,1.0
16,7,"the beatles formed in 1960 in liverpool , england .",liverpool,In what city were the beatles formed?,The Beatles were an English rock band formed in Liverpool in 1960.,liverpool,1.0
17,8,"i ' m not sure , but comic books have been around since the 18th century in japan .",the 18th century,Since when have comic books been around in japan?,"Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.",18th century,1.0
18,8,"i ' m not sure , but comic books have been around since the 18th century in japan .",japan,Comic books have been around since the 18th century in what country?,"Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.",japan,1.0
19,8,"i ' m not sure , but comic books have been around since the 18th century in japan .",comic books,What has been around since the 18th century in japan?,"Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.",[CLS],0.0
20,9,"there are so many elements to them like balloons , speech bubbles , text and characters",them,There are so many elements to what?,"The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",comic books,0.0
21,9,"there are so many elements to them like balloons , speech bubbles , text and characters",balloons,What is an example of an element that can be used in a movie?,"The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",[CLS],0.0
22,9,"there are so many elements to them like balloons , speech bubbles , text and characters",text,"Along with balloons, speech bubbles, and characters, what else is included in a game?","The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",[CLS],0.0
23,9,"there are so many elements to them like balloons , speech bubbles , text and characters",characters,"Along with balloons, speech bubbles, text and what else are there so many elements to a game?","The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",[CLS],0.0
24,10,"yes that is true , there have been numerous international versions of top chef that have been produced as well .",top chef,There have been numerous international versions of what chef?,"Numerous international adaptations of ""Top Chef"" have also been produced.","""top chef""",1.0
25,11,you should try it . it can reduce stress and anxiety .,you,What should try it?,"Meditation may be used to reduce stress, anxiety, depression, and pain.",[CLS],0.0
26,11,you should try it . it can reduce stress and anxiety .,anxiety,"Along with stress, what else can be reduced by taking it?","Meditation may be used to reduce stress, anxiety, depression, and pain.",anxiety,1.0
27,12,"i ' m not sure , but as of 2016 it was the largest print and digital circulation in the us .",2016,As of what year was it the largest print and digital circulation in the us?,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",2016,1.0
28,12,"i ' m not sure , but as of 2016 it was the largest print and digital circulation in the us .",the us,What country has the largest print and digital circulation?,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",united states,0.0
29,13,today there is more than 2 billion christians in the world .,more than 2 billion,How many Christians are there in the world today?,Today there are more than two billion Christians worldwide.,more than two billion,0.75
30,13,today there is more than 2 billion christians in the world .,the world,There are more than 2 billion christians in what world?,Today there are more than two billion Christians worldwide.,worldwide,0.0
31,14,"yes , they first launched back in 1969 in paris .",1969,When did they launch?,"Sephora first launched in Paris on August 14, 1969.","august 14, 1969",0.5
32,14,"yes , they first launched back in 1969 in paris .",paris,In what city did they launch in 1969?,"Sephora first launched in Paris on August 14, 1969.",paris,1.0
33,15,i can ' t believe scream was released in 1996 !,1996,When was scream released?,Scream is a 1996 American slasher film directed by Wes Craven and written by Kevin Williamson.,1996,1.0
34,15,i can ' t believe scream was released in 1996 !,i can ' t believe scream,What song was released in 1996?,Scream is a 1996 American slasher film directed by Wes Craven and written by Kevin Williamson.,[CLS],0.0
35,16,"i do not , but i do know that she was born in michigan and raised there .",michigan,Where was she born?,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.",michigan,1.0
36,17,there are hundreds of different kinds of cheese produced in different countries .,hundreds,How many different kinds of cheese are produced in different countries?,Hundreds of types of cheese from various countries are produced.,hundreds,1.0
37,17,there are hundreds of different kinds of cheese produced in different countries .,different kinds,There are hundreds of what kind of cheese?,Hundreds of types of cheese from various countries are produced.,cheese from various countries,0.0
38,17,there are hundreds of different kinds of cheese produced in different countries .,cheese,There are hundreds of different kinds of what?,Hundreds of types of cheese from various countries are produced.,cheese,1.0
39,17,there are hundreds of different kinds of cheese produced in different countries .,different countries,There are hundreds of different kinds of cheese produced in what countries?,Hundreds of types of cheese from various countries are produced.,various countries,0.5
40,18,purple is my favorite color . it ' s between red and blue .,my favorite color,What is purple?,Purple is a color intermediate between blue and red.,a color intermediate between blue and red,0.2222222222222222
41,19,"i ' m not sure , but most law school only offers a three year program .",three year,Most law schools offer how long a program?,"Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.",three-year,0.0
42,19,"i ' m not sure , but most law school only offers a three year program .",most law school,What school offers a three year program?,"Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.",[CLS],0.0
43,19,"i ' m not sure , but most law school only offers a three year program .",a three year program,Most law schools only offer what kind of program?,"Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.",traditional three-year program,0.3333333333333333
44,20,i think it ' s interesting that vegetarians were promoted by philosophers and religious groups .,vegetarians,What was promoted by philosophers and religious groups?,"In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",[CLS],0.0
45,20,i think it ' s interesting that vegetarians were promoted by philosophers and religious groups .,philosophers,"Along with religious groups, who promoted vegetarians?","In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",philosophers,1.0
46,20,i think it ' s interesting that vegetarians were promoted by philosophers and religious groups .,religious groups,"Along with philosophers, what groups promoted vegetarians?","In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",religious groups,1.0
47,21,"yes , i love american pancakes , they are like scotch pancakes",scotch pancakes,American pancakes are like what?,American pancakes are similar to Scotch pancakes or drop scones.,scotch pancakes or drop scones,0.5714285714285715
48,22,have you ever been to nashville ? it ' s the capital of tennessee .,tennessee,What state is nashville the capital of?,Nashville () is the capital and most populous city of the U.S. state of Tennessee and the seat of Davidson County.,tennessee,1.0
49,22,have you ever been to nashville ? it ' s the capital of tennessee .,nashville,What is the capital of tennessee?,Nashville () is the capital and most populous city of the U.S. state of Tennessee and the seat of Davidson County.,nashville,1.0
50,23,it took me a while to get used to it . it is very popular at tropical resorts .,a while,How long did it take me to get used to it?,"Snorkeling is a popular recreational activity, particularly at tropical resort locations.",[CLS],0.0
51,23,it took me a while to get used to it . it is very popular at tropical resorts .,tropical resorts,Where is it very popular?,"Snorkeling is a popular recreational activity, particularly at tropical resort locations.",tropical resort locations,0.4
52,24,have you ever had an iphone ? the first generation was released in june of 2007 .,first,What generation of iphone was released in 2007?,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",first,1.0
53,24,have you ever had an iphone ? the first generation was released in june of 2007 .,june of 2007,When was the first iphone released?,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.","june 29, 2007",0.6666666666666666
54,24,have you ever had an iphone ? the first generation was released in june of 2007 .,you,Who has ever had an iphone?,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",[CLS],0.0
55,24,have you ever had an iphone ? the first generation was released in june of 2007 .,an iphone,What device was the first generation of?,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",iphone,1.0
56,24,have you ever had an iphone ? the first generation was released in june of 2007 .,the first generation,What was released in june of 2007?,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",the first-generation iphone,0.0
57,25,during sleep the body is in a state of restoring the immune system and nervous system .,sleep,The body is in a state of restoring the immune system and nervous system during what?,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.",sleep,1.0
58,25,during sleep the body is in a state of restoring the immune system and nervous system .,the body,What is in a state of restoring the immune system and nervous system?,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.",anabolic state,0.0
59,25,during sleep the body is in a state of restoring the immune system and nervous system .,the immune system,The body is in a state of restoring what system?,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.","immune, nervous, skeletal, and muscular systems",0.25
60,25,during sleep the body is in a state of restoring the immune system and nervous system .,nervous system,The body is in a state of restoring the immune system and what else?,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.","nervous, skeletal, and muscular systems",0.28571428571428575
61,26,i am not sure who created it but the internet has a wide range of info resources,the internet,What has a wide range of info resources?,"The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.",the internet,1.0
62,26,i am not sure who created it but the internet has a wide range of info resources,a wide range,The internet has what kind of info resources?,"The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.",a vast range,0.5
63,26,i am not sure who created it but the internet has a wide range of info resources,info resources,The internet has a wide range of what?,"The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.",information resources and services,0.3333333333333333
64,27,"i don ' t know any flavors , but i do know that tea is one of the most consumed drinks in the whole world .",tea,What is one of the most consumed drinks in the world?,"After water, it is the most widely consumed drink in the world.",,0.0
65,27,"i don ' t know any flavors , but i do know that tea is one of the most consumed drinks in the whole world .",the most consumed drinks,What is tea one of in the world?,"After water, it is the most widely consumed drink in the world.",[CLS],0.0
66,27,"i don ' t know any flavors , but i do know that tea is one of the most consumed drinks in the whole world .",the whole world,In what part of the world is tea the most consumed drink?,"After water, it is the most widely consumed drink in the world.",world,0.6666666666666666
67,28,telenovelas are usually produced in latin american,latin american,Telenovelas are usually produced in what country?,"A telenovela ( or ; , ), ) is a type of limited-run television serial drama or soap opera produced primarily in Latin America.",latin america,0.5
68,28,telenovelas are usually produced in latin american,telenovelas,What are usually produced in latin american?,"A telenovela ( or ; , ), ) is a type of limited-run television serial drama or soap opera produced primarily in Latin America.",[CLS],0.0
69,29,well the term is also applied to changing gender roles,gender roles,The term is also applied to changing what?,"The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.",gender role,0.5
70,30,they are also considered to be the fastest breed of dogs .,they,What is considered to be the fastest breed of dog?,They are an ever-changing cross-breed of the fastest dogs.,[CLS],0.0
71,30,they are also considered to be the fastest breed of dogs .,dogs,What is considered to be the fastest breed?,They are an ever-changing cross-breed of the fastest dogs.,dogs,1.0
72,31,"yeah , it was originally designed for a show show in 1953 .",1953,When was it originally designed for a show?,"Originally designed as a show car for the 1953 Motorama display at the New York Auto Show, it generated enough interest to induce GM to make a production version to sell to the public.",1953,1.0
73,31,"yeah , it was originally designed for a show show in 1953 .",a show show,What was the original purpose of the film?,"Originally designed as a show car for the 1953 Motorama display at the New York Auto Show, it generated enough interest to induce GM to make a production version to sell to the public.",[CLS],0.0
74,32,"i don ' t really have a favorite character , but i do know that it ' s an animated sitcom .",NO_Q,NO_Q,The Flintstones is an American animated sitcom produced by Hanna-Barbera for ABC.,NO_Q,-1.0
75,33,me too ! i love how the show is set in the stone age,the stone age,What age is the show set in?,"The series takes place in a romanticized Stone Age setting, depicts the lives of the titular characters and their next-door neighbors and best friends.",stone age,1.0
76,34,"yes , she is a great singer . she sang in church as a child .",she,Who is a great singer?,"After singing in church during her childhood, she pursued a career in gospel music as a teenager.",[CLS],0.0
77,34,"yes , she is a great singer . she sang in church as a child .",a great singer,Is she a good singer?,"After singing in church during her childhood, she pursued a career in gospel music as a teenager.",[CLS],0.0
78,34,"yes , she is a great singer . she sang in church as a child .",church,Where did she sing as a child?,"After singing in church during her childhood, she pursued a career in gospel music as a teenager.",church,1.0
79,35,"do you like disney movies ? i really like the 1989 disney movie "" little mermaid "" .",1989,"When was the movie ""little mermaid"" released?",The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.,1989,1.0
80,36,i agree ! it ' s also known as the media capital for the world !,the media capital,What is it also known as for the world?,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.",capital,0.6666666666666666
81,36,i agree ! it ' s also known as the media capital for the world !,the world,It's also known as the media capital for what?,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.",the world,1.0
82,37,"i ' m not sure about coconut , but i do know that it is a high ball cocktail",a high ball cocktail,What is coconut known as?,"Rum and Coke, or a Cuba Libre (; , ""Free Cuba"" libre here an adjective, not a verb), is a highball cocktail consisting of cola, rum, and traditionally lime juice on ice.",[CLS],0.0
83,38,interestingly beets were also used in wine in the middle 19th century,the middle 19th century,When were beets used in wine?,"During the middle of the 19th century, wine often was coloured with beetroot juice.",during the middle of the 19th century,0.7499999999999999
84,38,interestingly beets were also used in wine in the middle 19th century,beets,What was used in wine in the middle of the 19th century?,"During the middle of the 19th century, wine often was coloured with beetroot juice.",beetroot juice,0.0
85,38,interestingly beets were also used in wine in the middle 19th century,wine,Beets were also used in what beverage in the middle of the 19th century?,"During the middle of the 19th century, wine often was coloured with beetroot juice.",wine,1.0
86,39,"i ' m not sure , but i do know that blue is an important color in decoration and art .",blue,What color is an important color in art?,Blue has been an important colour in art and decoration since ancient times.,blue,1.0
87,39,"i ' m not sure , but i do know that blue is an important color in decoration and art .",decoration,Blue is an important color in what kind of art?,Blue has been an important colour in art and decoration since ancient times.,decoration,1.0
88,39,"i ' m not sure , but i do know that blue is an important color in decoration and art .",art,Blue is an important color in decoration and what else?,Blue has been an important colour in art and decoration since ancient times.,art,1.0
89,40,christianity makes up the majority of people in 158 different countries .,158,How many different countries have Christians?,Christians make up a majority of the population in 158 countries and territories.,158,1.0
90,40,christianity makes up the majority of people in 158 different countries .,christianity,What religion makes up the majority of people in 158 different countries?,Christians make up a majority of the population in 158 countries and territories.,christians,0.0
91,41,"yep , he was a great theoretical physicist and author",author,"Aside from being a theoretical physicist, what else was he?","Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.",cosmologist,0.0
92,42,agriculture is actually the cultivation of animals and plants .,agriculture,What is the cultivation of animals and plants called?,"Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life.",agriculture,1.0
93,42,agriculture is actually the cultivation of animals and plants .,animals,"Along with plants, what does agriculture involve?","Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life.",animals,1.0
94,42,agriculture is actually the cultivation of animals and plants .,plants,"Along with animals, what does agriculture involve?","Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life.",plants and fungi,0.5
95,43,the word pizza has been around since 997 ad,the word pizza,What word is known as pizza?,"The word ""pizza"" was first documented in AD 997 in Gaeta and successively in different parts of Central and Southern Italy.","""pizza""",0.6666666666666666
96,43,the word pizza has been around since 997 ad,997 ad,Since when has pizza been around?,"The word ""pizza"" was first documented in AD 997 in Gaeta and successively in different parts of Central and Southern Italy.",ad 997,1.0
97,44,do you like chocolate ? it is typically sweet and usually brown .,NO_Q,NO_Q,"Chocolate is a typically sweet, usually brown food preparation of ""Theobroma cacao"" seeds, roasted and ground.",NO_Q,-1.0
98,45,"yes , and since our body is less dense , the water supports our weight .",our body,What part of our body is less dense?,"Since the human body is only slightly less dense than water, water supports the weight of the body during swimming.",the human body,0.6666666666666666
99,45,"yes , and since our body is less dense , the water supports our weight .",the water,What supports our weight?,"Since the human body is only slightly less dense than water, water supports the weight of the body during swimming.",water,1.0
100,45,"yes , and since our body is less dense , the water supports our weight .",our weight,What does water support?,"Since the human body is only slightly less dense than water, water supports the weight of the body during swimming.",weight of the body,0.5
101,46,i know that he was a jazz critic in 1971 .,1971,When was he a jazz critic?,"He contributed to ""The Daily Telegraph"" as its jazz critic from 1961 to 1971, articles gathered in ""All What Jazz: A Record Diary 1961–71"" (1985), and he edited ""The Oxford Book of Twentieth Century English Verse"" (1973).",1961 to 1971,0.5
102,46,i know that he was a jazz critic in 1971 .,a jazz critic,What was he known as in 1971?,"He contributed to ""The Daily Telegraph"" as its jazz critic from 1961 to 1971, articles gathered in ""All What Jazz: A Record Diary 1961–71"" (1985), and he edited ""The Oxford Book of Twentieth Century English Verse"" (1973).",[CLS],0.0
103,47,the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,italian,What language is gaeta?,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.",[CLS],0.0
104,47,the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,the term pizza,What has been around for a long time?,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.",[CLS],0.0
105,47,the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,a long time,How long has the term pizza been around?,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.",10th century,0.0
106,47,the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,a manuscript,Pizza was first used in what?,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.",a latin manuscript,0.6666666666666666
107,47,the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,gaeta,What was the name of the town that first used the term pizza?,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.",gaeta,1.0
108,48,"i ' m not sure , but in june 2013 it was one of the fastest growing cities in the us",june 2013,When did New York City become one of the fastest growing cities in the US?,"In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.",july 2013,0.5
109,48,"i ' m not sure , but in june 2013 it was one of the fastest growing cities in the us",us,What country was it one of the fastest growing cities in?,"In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.",united states,0.0
110,48,"i ' m not sure , but in june 2013 it was one of the fastest growing cities in the us",june,In what month of 2013 was New York one of the fastest growing cities in the US?,"In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.",july,0.0
111,48,"i ' m not sure , but in june 2013 it was one of the fastest growing cities in the us",the us,In 2013 it was one of the fastest growing cities in what country?,"In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.",united states,0.0
112,49,"i haven ' t won many , but i have been a fan since 1963 when they moved to baltimore .",1963,When did they move to baltimore?,"In 1963, they relocated to Baltimore, Maryland and became the Baltimore Bullets, taking the name from previous team of the same name.",1963,1.0
113,49,"i haven ' t won many , but i have been a fan since 1963 when they moved to baltimore .",baltimore,Where did they move to in 1963?,"In 1963, they relocated to Baltimore, Maryland and became the Baltimore Bullets, taking the name from previous team of the same name.","baltimore, maryland",0.6666666666666666
114,50,hoarding and caching are common behavior in bird species,hoarding,"Along with caching, what is a common behavior among birds?","""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.","""hoarding""",1.0
115,50,hoarding and caching are common behavior in bird species,caching,Hoarding and what are two common behaviors in birds?,"""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.","""caching""",1.0
116,50,hoarding and caching are common behavior in bird species,common behavior,What are hoarding and caching in birds?,"""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.",common behaviors,0.5
117,50,hoarding and caching are common behavior in bird species,bird species,Hoarding and caching are common behavior in what?,"""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.",many bird species,0.8
118,51,you ' re welcome . they ' re often regarded the most valuable position in the defense .,you,Who's welcome?,"Linebackers are often regarded as the most important position in defense, due to their versatility in providing hard hits on running plays or an additional layer of pass protection, when required.",[CLS],0.0
119,51,you ' re welcome . they ' re often regarded the most valuable position in the defense .,the most valuable position,What are they often regarded as in the defense?,"Linebackers are often regarded as the most important position in defense, due to their versatility in providing hard hits on running plays or an additional layer of pass protection, when required.",the most important position,0.6666666666666666
120,51,you ' re welcome . they ' re often regarded the most valuable position in the defense .,the defense,They're often regarded as the most valuable position in what?,"Linebackers are often regarded as the most important position in defense, due to their versatility in providing hard hits on running plays or an additional layer of pass protection, when required.",defense,1.0
121,52,"that ' s true . in some countries , electric bicycles are regulated by the government .",some countries,Where are electric bicycles regulated by the government?,Many countries have enacted electric bicycle laws to regulate the use of electric bicycles.,many countries,0.5
122,52,"that ' s true . in some countries , electric bicycles are regulated by the government .",electric bicycles,What type of bicycles are regulated by the government?,Many countries have enacted electric bicycle laws to regulate the use of electric bicycles.,electric bicycles,1.0
123,52,"that ' s true . in some countries , electric bicycles are regulated by the government .",the government,Who regulates electric bicycles in some countries?,Many countries have enacted electric bicycle laws to regulate the use of electric bicycles.,electric bicycle laws,0.0
124,53,that ' s great ! weight loss happens when your body expends more energy than it ' s absorbing .,weight loss,What happens when the body expends more energy than it absorbs?,Weight loss occurs when the body is expending more energy in work and metabolism than it is absorbing from food or other nutrients.,weight loss,1.0
125,53,that ' s great ! weight loss happens when your body expends more energy than it ' s absorbing .,your body,What does weight loss happen when it expends more energy than it absorbs?,Weight loss occurs when the body is expending more energy in work and metabolism than it is absorbing from food or other nutrients.,work and metabolism,0.0
126,54,i picked all kinds of fruits . apple picking was one of them .,NO_Q,NO_Q,Apple picking is an activity found at apple farms.,NO_Q,-1.0
127,55,it stimulates a certain portion of the nervous system !,it,What stimulates a certain portion of the nervous system?,Caffeine also stimulates certain portions of the autonomic nervous system.,caffeine,0.0
128,55,it stimulates a certain portion of the nervous system !,a certain portion,What part of the nervous system is stimulated by this drug?,Caffeine also stimulates certain portions of the autonomic nervous system.,autonomic nervous system,0.0
129,55,it stimulates a certain portion of the nervous system !,the nervous system,What part of the body is stimulated?,Caffeine also stimulates certain portions of the autonomic nervous system.,autonomic nervous system,0.8
130,56,"i think you ' re right ! since the roman times , it has been one of the most valuable foods among italians !",the roman times,Since when has it been one of the most valuable foods among italians?,"Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.",the time of the roman empire,0.3333333333333333
131,56,"i think you ' re right ! since the roman times , it has been one of the most valuable foods among italians !",the most valuable foods,"Since the roman times, it has been one of what among italians?","Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.",uniquely valuable food,0.3333333333333333
132,56,"i think you ' re right ! since the roman times , it has been one of the most valuable foods among italians !",italians,"Since the roman times, it has been one of the most valuable foods among what people?","Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.",italians,1.0
133,57,i ' m glad to hear that ! the democrats have been around since 1854 to fight the kansas - nebraska act .,democrats,Who has been fighting the kansas - nebraska act?,"It emerged in 1854 to combat the Kansas–Nebraska Act, an act that dissolved the terms of the Missouri Compromise and allowed slave or free status to be decided in the territories by popular sovereignty.",[CLS],0.0
134,57,i ' m glad to hear that ! the democrats have been around since 1854 to fight the kansas - nebraska act .,1854,When did the democrats fight the kansas - nebraska act?,"It emerged in 1854 to combat the Kansas–Nebraska Act, an act that dissolved the terms of the Missouri Compromise and allowed slave or free status to be decided in the territories by popular sovereignty.",1854,1.0
135,57,i ' m glad to hear that ! the democrats have been around since 1854 to fight the kansas - nebraska act .,the democrats,Who is fighting the kansas - nebraska act?,"It emerged in 1854 to combat the Kansas–Nebraska Act, an act that dissolved the terms of the Missouri Compromise and allowed slave or free status to be decided in the territories by popular sovereignty.",[CLS],0.0
136,57,i ' m glad to hear that ! the democrats have been around since 1854 to fight the kansas - nebraska act .,the kansas - nebraska act,What do the democrats fight?,"It emerged in 1854 to combat the Kansas–Nebraska Act, an act that dissolved the terms of the Missouri Compromise and allowed slave or free status to be decided in the territories by popular sovereignty.",[CLS],0.0
137,58,i love cats too ! they are so small and furry .,NO_Q,NO_Q,"The domestic cat (""Felis silvestris catus"" or ""Felis catus"") is a small, typically furry, carnivorous mammal.",NO_Q,-1.0
138,59,"i ' m not sure , but it originated in india .",india,Where did it originate?,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",ancient india,0.6666666666666666
