,id,response,cand,question,knowledge,knowledge_ans,score
77,32,i love starbucks ! it was founded in 1971 .,1971,When was starbucks founded?,"Starbucks was founded in Seattle, Washington in 1971.",1971,1.0
78,32,i love starbucks ! it was founded in 1971 .,starbucks,What company was founded in 1971?,"Starbucks was founded in Seattle, Washington in 1971.",starbucks,1.0
79,33,"i ' m not sure , but they have 23 , 768 locations worldwide .",768,How many locations are there?,"As of November 2016, it operates 23,768 locations worldwide.","23,768",0.0
80,34,"me too ! it was originally called "" insomnia cafe "" .",""" insomnia cafe",What was the original name of the cafe?,"Kauffman and Crane began developing ""Friends"" under the title ""Insomnia Cafe"" between November and December 1993.","""insomnia cafe""",1.0
81,35,"i ' m not sure , but i do know that they serve hot and cold coffee .",hot and cold coffee,What do they serve?,"Starbucks locations serve hot and cold drinks, whole-bean coffee, microground instant coffee known as VIA, espresso, caffe latte, full- and loose-leaf teas including Teavana tea products, Evolution Fresh juices, Frappuccino beverages, La Boulange pastries, and snacks including items such as chips and crackers; some offerings (including their annual fall launch of the Pumpkin Spice Latte) are seasonal or specific to the locality of the store.",hot and cold drinks,0.75
82,36,skunks are known for their ability to spray a strong unpleasant smell .,skunks,What animal is known for spraying a strong unpleasant smell?,The animals are known for their ability to spray a liquid with a strong unpleasant smell.,[CLS] what animal is known for spraying a strong unpleasant smell?[SEP] the animals,0.0
83,36,skunks are known for their ability to spray a strong unpleasant smell .,a strong unpleasant smell,What do skunks spray?,The animals are known for their ability to spray a liquid with a strong unpleasant smell.,a liquid,0.0
84,37,my favorite artist is lady gaga . she is known for her unconventionality and provocative work .,my favorite artist,Who is lady gaga?,She is known for her unconventionality and provocative work as well as experimenting with new images.,[CLS],0.0
85,37,my favorite artist is lady gaga . she is known for her unconventionality and provocative work .,lady gaga,Which artist is known for her unconventional work?,She is known for her unconventionality and provocative work as well as experimenting with new images.,she,0.0
86,37,my favorite artist is lady gaga . she is known for her unconventionality and provocative work .,provocative work,What kind of work is lady gaga known for?,She is known for her unconventionality and provocative work as well as experimenting with new images.,unconventionality and provocative,0.4
87,38,"have you ever heard of the song "" love me do "" ?",you,"Who has ever heard of the song "" love me do ""?","Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.",[CLS],0.0
88,39,"i ' m not sure , but they formed in liverpool in 1960 .",1960,When did they form in liverpool?,The Beatles were an English rock band formed in Liverpool in 1960.,1960,1.0
89,39,"i ' m not sure , but they formed in liverpool in 1960 .",they,What formed in liverpool in 1960?,The Beatles were an English rock band formed in Liverpool in 1960.,the beatles,0.0
90,39,"i ' m not sure , but they formed in liverpool in 1960 .",liverpool,Where did they form?,The Beatles were an English rock band formed in Liverpool in 1960.,liverpool,1.0
91,40,"i ' m not sure , but i do know that ringo starr began in 1962 .",1962,When did ringo starr begin?,"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",[CLS],0.0
92,40,"i ' m not sure , but i do know that ringo starr began in 1962 .",ringo starr,What band began in 1962?,"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",[CLS],0.0
93,41,"yes , vegetarianism is the practice of abstaining from the consumption of meat",vegetarianism,What is the practice of abstaining from the consumption of meat?,"Vegetarianism is the practice of abstaining from the consumption of meat (red meat, poultry, seafood, and the flesh of any other animal), and may also include abstention from by-products of animal slaughter.",vegetarianism,1.0
94,41,"yes , vegetarianism is the practice of abstaining from the consumption of meat",meat,What does vegetarianism abstain from eating?,"Vegetarianism is the practice of abstaining from the consumption of meat (red meat, poultry, seafood, and the flesh of any other animal), and may also include abstention from by-products of animal slaughter.",meat,1.0
95,42,i don ' t know much about dc comics but i do know that elements of comics include speech bubbles and characters .,elements,Speech bubbles and characters are what in comics?,"The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",key elements,0.6666666666666666
96,42,i don ' t know much about dc comics but i do know that elements of comics include speech bubbles and characters .,comics,Speech bubbles and characters are elements of what?,"The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",comic books,0.0
97,42,i don ' t know much about dc comics but i do know that elements of comics include speech bubbles and characters .,speech bubbles,"Along with characters, what is an element of dc comics?","The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",[CLS],0.0
98,42,i don ' t know much about dc comics but i do know that elements of comics include speech bubbles and characters .,characters,"Along with speech bubbles, what other element of dc comics does he know?","The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.","[CLS] along with speech bubbles, what other element of dc comics does he know?[SEP] the key elements of comic books include panels, balloons",0.0
99,43,heavy metal has roots in blues rock and psychedelic / acid rock,heavy metal,What type of metal has roots in blues rock?,"With roots in blues rock and psychedelic/acid rock, the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion, extended guitar solos, emphatic beats, and overall loudness.",heavy metal,1.0
100,43,heavy metal has roots in blues rock and psychedelic / acid rock,roots,What does heavy metal have in blues rock?,"With roots in blues rock and psychedelic/acid rock, the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion, extended guitar solos, emphatic beats, and overall loudness.",roots,1.0
101,43,heavy metal has roots in blues rock and psychedelic / acid rock,blues rock,"Along with psychedelic / acid rock, heavy metal has roots in what genre of music?","With roots in blues rock and psychedelic/acid rock, the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion, extended guitar solos, emphatic beats, and overall loudness.",blues rock,1.0
102,43,heavy metal has roots in blues rock and psychedelic / acid rock,psychedelic / acid rock,Heavy metal has roots in blues rock and what other genre?,"With roots in blues rock and psychedelic/acid rock, the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion, extended guitar solos, emphatic beats, and overall loudness.",psychedelic/acid rock,0.4
103,44,skateboarding is an action sport that involves riding and performing tricks .,an action sport,What does skateboarding involve riding and performing tricks?,Skateboarding is an action sport which involves riding and performing tricks using a skateboard.,using a skateboard,0.0
104,44,skateboarding is an action sport that involves riding and performing tricks .,tricks,Skateboarding involves riding and performing what?,Skateboarding is an action sport which involves riding and performing tricks using a skateboard.,tricks using a skateboard,0.5
105,45,do you ever play the kickflip ? it was invented by rodney mullen .,the kickflip,What was invented by rodney mullen?,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",a kickflip,1.0
106,45,do you ever play the kickflip ? it was invented by rodney mullen .,rodney mullen,Who invented the kickflip?,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",rodney mullen,1.0
107,46,netflix is an american entertainment company founded in 1997 by reed hastings and marc randolph .,netflix,What is the name of the entertainment company that was founded in 1997?,"Netflix is an American entertainment company founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California.",netflix,1.0
108,46,netflix is an american entertainment company founded in 1997 by reed hastings and marc randolph .,american,What is the nationality of netflix?,"Netflix is an American entertainment company founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California.",american,1.0
109,46,netflix is an american entertainment company founded in 1997 by reed hastings and marc randolph .,1997,In what year was netflix founded?,"Netflix is an American entertainment company founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California.",1997,1.0
110,46,netflix is an american entertainment company founded in 1997 by reed hastings and marc randolph .,an american entertainment company,What is netflix?,"Netflix is an American entertainment company founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California.",an american entertainment company,1.0
111,47,that ' s awesome ! beetroot is used as food coloring .,beetroot,What is used as food coloring?,"Other than as a food, beets have use as a food colouring and as a medicinal plant.",beets,0.0
112,48,"it is a group of physical , mental , and spiritual practices .",it,"What is a group of physical, mental and spiritual practices?","Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",yoga,0.0
113,48,"it is a group of physical , mental , and spiritual practices .",a group,"What are physical, mental and spiritual practices?","Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",yoga,0.0
114,48,"it is a group of physical , mental , and spiritual practices .","physical , mental , and spiritual practices",What is a group of?,"Yoga (; Sanskrit, योगः Listen) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India.",[CLS],0.0
115,49,"i ' m not sure , but i do know it has a meditative and spiritual core .",a meditative and spiritual core,What does it have?,"Yoga in Indian traditions, however, is more than physical exercise; it has a meditative and spiritual core.",a meditative and spiritual core,1.0
116,50,the most well known types of yoga are hatha yoga and rāja yoga .,the most well known types,What types of yoga are hatha yoga and rja?,Among the most well-known types of yoga are Hatha yoga and Rāja yoga.,among the most well-known,0.28571428571428575
117,50,the most well known types of yoga are hatha yoga and rāja yoga .,yoga,What type of yoga is raja?,Among the most well-known types of yoga are Hatha yoga and Rāja yoga.,among the most well-known,0.0
118,50,the most well known types of yoga are hatha yoga and rāja yoga .,hatha yoga,What is the most well known type of yoga?,Among the most well-known types of yoga are Hatha yoga and Rāja yoga.,hatha yoga,1.0
119,51,toyota is one of the world ' s leader in hybrid vehicles .,toyota,What company is one of the world's leaders in hybrid vehicles?,"Toyota is the world's market leader in sales of hybrid electric vehicles, and one of the largest companies to encourage the mass-market adoption of hybrid vehicles across the globe.",toyota,1.0
120,51,toyota is one of the world ' s leader in hybrid vehicles .,hybrid vehicles,what type of vehicle is toyota a leader in?,"Toyota is the world's market leader in sales of hybrid electric vehicles, and one of the largest companies to encourage the mass-market adoption of hybrid vehicles across the globe.",hybrid electric vehicles,0.8
121,52,"i ' m not sure , but it originated from celtic harvest festivals .",celtic harvest festivals,Where did it originate from?,"It is widely believed that many Halloween traditions originated from ancient Celtic harvest festivals, particularly the Gaelic festival Samhain; that such festivals may have had pagan roots; and that Samhain itself was Christianized as Halloween by the early Church.",ancient celtic harvest festivals,0.8571428571428571
122,53,have you ever been to new york york times ? it ' s a newspaper based in new york city .,new york city,Where is the New York Times based?,"The New York Times (sometimes abbreviated as The"" ""NYT or The Times) is an American newspaper based in New York City with worldwide influence and readership.",new york city,1.0
123,53,have you ever been to new york york times ? it ' s a newspaper based in new york city .,new york york times,What is the name of the newspaper based in new york?,"The New York Times (sometimes abbreviated as The"" ""NYT or The Times) is an American newspaper based in New York City with worldwide influence and readership.",the new york times,0.8571428571428571
124,53,have you ever been to new york york times ? it ' s a newspaper based in new york city .,a newspaper,What is the name of the new york times?,"The New York Times (sometimes abbreviated as The"" ""NYT or The Times) is an American newspaper based in New York City with worldwide influence and readership.","""nyt or the times) is an american newspaper",0.2857142857142857
125,54,it was founded in 1851 and has won 122 pulitzer prizes,1851,When was Pulitzer founded?,"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",1851,1.0
126,54,it was founded in 1851 and has won 122 pulitzer prizes,122,How many pulitzer prizes has Pulitzer won?,"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",122,1.0
127,55,"i ' m not sure , but i do know that there are ethical vegans that extend the philosophy into other areas of their lives .",ethical vegans,Who extends the philosophy into other areas of their lives?,"The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.","""ethical vegan""",0.5
128,55,"i ' m not sure , but i do know that there are ethical vegans that extend the philosophy into other areas of their lives .",the philosophy,What do ethical vegans extend into other areas of their lives?,"The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.",philosophy,1.0
129,55,"i ' m not sure , but i do know that there are ethical vegans that extend the philosophy into other areas of their lives .",other areas,What areas of their lives do vegans extend their philosophy into?,"The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.",[CLS],0.0
130,56,i love listening to classical music . it is rooted in western culture .,classical music,What genre of music is rooted in western culture?,"Classical music is art music produced or rooted in the traditions of Western culture, including both liturgical (religious) and secular music.",classical music,1.0
