,id,score,response,cand,question,knowledge_ans,knowledge,label
13,6,0.0,no problem . pop punk has been around since the 2000 ' s .,the 2000 ' s,Pop punk has been around since when?,[CLS],"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",1
14,6,0.0,no problem . pop punk has been around since the 2000 ' s .,no problem,Does pop punk have a problem?,[CLS],"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",1
15,6,0.03125,no problem . pop punk has been around since the 2000 ' s .,pop punk,What genre of music has been around since the 2000s?,"[CLS] what genre of music has been around since the 2000s?[SEP] the 2000s saw the creation or emergence of a few styles, such as indie-related genres such as emo, alternative r&b, and a multitude of new electronic subgenres, most notably dubstep, bass music and moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as nu-disco and hypnagogic pop","The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.",1
16,7,0.0,i like federer the most . he originated in england in the 19th century,the 19th century,When did federer originate?,[CLS],"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",1
17,7,0.0,i like federer the most . he originated in england in the 19th century,england,Where did federer originate?,[CLS],"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.",1
18,8,0.0,yeah in most of 19th century the term tennis was called lawn tennis,the term tennis,In the 19th century what was called lawn tennis?,[CLS],"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",1
19,8,0.6666666666666666,yeah in most of 19th century the term tennis was called lawn tennis,lawn tennis,In the 19th century tennis was called what?,"""tennis""","During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""",1
20,9,0.0,"it is an olympic sport ! poppen named it after his wife ' s friend nancy , poppen .",an olympic sport,What is it?,"""snurfer""","Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.",1
21,10,0.0,"i know that he owns miss universe , which is a miss usa pageant .",he,Who owns miss universe?,trump,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,1
22,10,1.0,"i know that he owns miss universe , which is a miss usa pageant .",miss universe,What pageant does he own?,miss universe,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,1
23,10,0.0,"i know that he owns miss universe , which is a miss usa pageant .",a miss usa pageant,What is miss universe?,beauty pageants,Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,1
24,11,0.0,i ' m not sure . most adults don ' t realize that they have ocd .,most adults,Who doesn't realize they have ocd?,[CLS],Most adults realize that the behaviors do not make sense.,1
25,11,0.0,i ' m not sure . most adults don ' t realize that they have ocd .,ocd,Most adults don't realize that they have what?,[CLS],Most adults realize that the behaviors do not make sense.,1
26,12,0.0,"i would have to say paul mccartney , he was my favorite drummer .",my favorite drummer,Who was paul mccartney?,[CLS],"The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.",1
27,13,1.0,i think it has to do with the fact that it ' s a show that ' s been around since 2017 .,2017,Since what year has the show been around?,2017,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",1
28,13,0.0,i think it has to do with the fact that it ' s a show that ' s been around since 2017 .,a show,What is's been around since 2017?,"""top chef junior"",","Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.",1
29,14,0.0,i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,magic flip,What was the first flip called?,kickflip,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",1
30,14,0.0,i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,the 60 ' s,When was the first magic flip invented?,[CLS],"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.",1
31,15,0.5714285714285715,have you ever seen the movie snow queen ? it ' s based on a fairy tale .,a fairy tale,What is the movie snow queen based on?,hans christian andersen's fairy tale,"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".",1
32,16,0.0,"it started off as a newspaper , but now it ' s publishing company .",a newspaper,What did it start as?,[CLS],"Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.",1
33,17,0.0,it is ! jamaica lies in the middle of cuba and the caribbean .,jamaica,What island lies in the middle of cuba and the caribbean?,[CLS],"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",1
34,17,0.0,it is ! jamaica lies in the middle of cuba and the caribbean .,cuba,What country is jamaica located in?,[CLS],"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).",1
35,18,0.0,"no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .",pairs,How many organs appear on the right side of the body?,[CLS],"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",1
36,18,0.0,"no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .",organs,What do they have pairs of on the right side of the body?,[CLS],"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",1
37,18,0.0,"no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .",the body,Where are the pairs of organs on the right side?,[CLS],"To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.",1
38,19,0.0,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",a girdle,What do some snakes have on the side of their cloaca?,vestigial claws,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,1
39,19,0.0,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",the side,What part of their cloaca does a snake have a girdle?,pelvic,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,1
40,19,0.07692307692307693,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",their cloaca,Some snakes have a girdle on the side of what?,[CLS] some snakes have a girdle on the side of what?[SEP] some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,1
41,19,0.0,"i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",adults,Some snakes have a girdle on the side of their cloaca that allows them to eat what?,[CLS],Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,1
42,20,0.0,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .",september of 1969,When did paul mccartney leave the group?,10 april 1970,"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",1
43,20,0.0,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .",paul mccartney,Who left the band in 1969?,john lennon,"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",1
44,20,0.0,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .",the group,What did paul mccartney leave in 1969?,[CLS],"Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.",1
45,21,0.0,the bible is one of the most sacred texts in the bible .,the bible,What is one of the most sacred texts in the bible?,[CLS],"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.",1
46,22,0.0,i think so too . in 1997 they were sold to a company called sephornaud .,1997,When were they sold to sephornaud?,[CLS],"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",1
47,22,0.0,i think so too . in 1997 they were sold to a company called sephornaud .,a company,What was sephornaud?,[CLS],"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",1
48,22,0.0,i think so too . in 1997 they were sold to a company called sephornaud .,sephornaud,What company sold them to in 1997?,lvmh,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.",1
49,23,-1.0,"i am not sure , but i know that it has the largest population in the whole world",NO_Q,NO_Q,NO_Q,"It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.",1
50,24,1.0,i ' m not sure but i do know that finance aims for the risk level .,finance,What type of business aims for the risk level?,finance,Finance aims to price assets based on their risk level and their expected rate of return.,1
51,24,0.2666666666666667,i ' m not sure but i do know that finance aims for the risk level .,the risk level,What does finance aim for?,price assets based on their risk level and their expected rate of return,Finance aims to price assets based on their risk level and their expected rate of return.,1
52,25,0.21052631578947367,the song was written by ken nelson in 2000 .,ken nelson,Who wrote the song?,"the band wrote the song and co-produced it with british record producer ken nelson for their debut album, ""parachutes""","The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",1
53,25,1.0,the song was written by ken nelson in 2000 .,2000,When was the song written?,(2000).,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",1
54,25,0.0,the song was written by ken nelson in 2000 .,the song,What was written by ken nelson in 2000?,[CLS],"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).",1
55,26,0.0,"i ' m not sure , but the term bison burger is popular in india .",bison burger,What term is popular in india?,[CLS],"The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".",1
56,26,0.0,"i ' m not sure , but the term bison burger is popular in india .",india,In what country is the term bison burger popular?,[CLS],"The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".",1
57,27,0.0,miami is the most populated city in the state of miami,miami,What city is the most populated in the state of miami?,[CLS],"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",1
58,27,0.0,miami is the most populated city in the state of miami,miami,What city is the most populated in the state of miami?,[CLS],"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",1
59,28,0.0,i am not sure but i do know that it was ranked number 7 in the us in 2008,7,What was the US ranking in 2008?,"""america's cleanest city"",","In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",1
60,28,0.0,i am not sure but i do know that it was ranked number 7 in the us in 2008,2008,In what year was it ranked number 7 in the us?,[CLS],"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",1
61,28,0.0,i am not sure but i do know that it was ranked number 7 in the us in 2008,the us,Where was it ranked number 7 in 2008?,[CLS],"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.",1
62,29,0.0,interesting . butchers have been around for a long time . they have been domesticated .,butchers,What has been around for a long time?,,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",1
63,29,0.0,interesting . butchers have been around for a long time . they have been domesticated .,a long time,How long have butchers been around?,[CLS],"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",1
64,30,0.0,i visited manhattan which is the largest borough of manhattan .,manhattan,What is the largest borough of manhattan?,[CLS],"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",1
65,30,0.0,i visited manhattan which is the largest borough of manhattan .,manhattan,What is the largest borough of manhattan?,[CLS],"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.",1
66,31,0.0,the word philately is actually a french word coined by george herpin .,french,What language is the word philately?,english,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",1
67,31,0.5,the word philately is actually a french word coined by george herpin .,george herpin,Who coined the word philately?,georges herpin,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",1
68,31,0.5,the word philately is actually a french word coined by george herpin .,a french word,What is philately?,"the english version of the french word ""philatelie""","The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.",1
69,32,0.0,i went to honshu which is the home island of honshu .,honshu,What is the home island of honshu?,[CLS],"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",1
70,32,0.5,i went to honshu which is the home island of honshu .,the home island,What island is honshu?,home islands,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.",1
71,33,0.0,"that ' s too bad , it ' s a huge city with a population of over 305 million .",over 305 million,What is the population of New York City?,"305,704","As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.",1
72,34,0.0,"yes , he was born in 1991 . the song was released in november 2014 .",1991,When was he born?,[CLS],"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",1
73,34,0.0,"yes , he was born in 1991 . the song was released in november 2014 .",november 2014,When was the song released?,[CLS],"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",1
74,34,0.0,"yes , he was born in 1991 . the song was released in november 2014 .",he,Who was born in 1991?,[CLS],"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",1
75,34,0.0,"yes , he was born in 1991 . the song was released in november 2014 .",the song,What was released in november 2014?,[CLS],"In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.",1
76,35,0.2857142857142857,me too . he won an album of his own in 2015 .,an album,What did he win for himself in 2015?,brit award for album of the year,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",1
77,36,0.6666666666666666,in both forms the arranger is the game master and the other player is the referee,both forms,In what forms is the arranger the game master?,both,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
78,36,1.0,in both forms the arranger is the game master and the other player is the referee,the arranger,Who is the game master?,an arranger,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
79,36,1.0,in both forms the arranger is the game master and the other player is the referee,the game master,Who is the arranger in both forms?,game master,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
80,36,0.0,in both forms the arranger is the game master and the other player is the referee,the other player,Who is the referee?,a game master,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
81,36,0.05405405405405406,in both forms the arranger is the game master and the other player is the referee,the referee,Who is the other player?,"[CLS] who is the other player?[SEP] in both of these forms, an arranger called a game master (gm) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character","In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",1
82,37,0.0,they are stories that are about dragons and fairy tales .,stories,What are about dragons and fairy tales?,[CLS],"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",1
83,37,0.0,they are stories that are about dragons and fairy tales .,dragons,"Along with fairy tales, what are stories about?",[CLS],"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",1
84,37,0.0,they are stories that are about dragons and fairy tales .,fairy tales,What are stories about dragons and?,[CLS],"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",1
85,38,-1.0,milton milton was one of my favorite confectionists .,NO_Q,NO_Q,NO_Q,"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",1
86,39,1.0,"yeah , the 1954 models could be order in any color .",1954,What year could be ordered in any color?,1954,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",1
87,39,0.0,"yeah , the 1954 models could be order in any color .",the 1954 models,What could be ordered in any color?,[CLS],"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",1
88,39,0.0,"yeah , the 1954 models could be order in any color .",order,The 1954 models could be what in any color?,"pennant blue, sportsman red, black, or polo white","The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",1
89,39,0.0,"yeah , the 1954 models could be order in any color .",any color,The 1954 models could be ordered in what color?,pennant blue,"The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",1
90,40,0.0,i do ! i think it ' s fascinating how the early and middle ages were divided into different parts of the world .,the early and middle ages,What ages were divided into different parts of the world?,[CLS],"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.",1
91,40,0.0,i do ! i think it ' s fascinating how the early and middle ages were divided into different parts of the world .,the world,The early and middle ages were divided into different parts of what?,high,"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.",1
92,41,0.0,"i ' m not a huge fan , but i do know that his first novel of poetry was called jill .",poetry,What genre was jill's first novel?,[CLS],"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
93,41,0.0,"i ' m not a huge fan , but i do know that his first novel of poetry was called jill .",jill,What was his first poem called?,"""the north ship"",","His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
94,42,0.8,fran sinatra is a great singer . she was born in new jersey .,new jersey,Where was fran sinatra born?,"hoboken, new jersey","Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",1
95,42,0.0,fran sinatra is a great singer . she was born in new jersey .,fran sinatra,Who is a great singer?,[CLS],"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",1
96,42,0.0,fran sinatra is a great singer . she was born in new jersey .,a great singer,What is fran sinatra?,[CLS],"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",1
97,43,0.0,i didn ' t realize it was filmed in seattle .,seattle,Where was the film filmed?,"los angeles, california","Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.",1
98,44,0.0,yes it is unhealthy . it was actually discovered by a physician named alchemist .,alchemist,What was the name of the physician who discovered it?,[CLS] what was the name of the physician who discovered it?[SEP] rhazes,"Rhazes (854 CE – 925 CE), was a Persian polymath, physician, alchemist, and philosopher who discovered numerous compounds and chemicals including ""alcohol"" by developing several chemical instruments and methods of distillation.",1
99,45,0.0,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",india,What country is adjacent to india's mountains?,[CLS],It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,1
100,45,0.0,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",india,What country is adjacent to india's mountains?,[CLS],It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,1
101,45,0.4,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",india ' s mountains,Where is india adjacent to?,himalaya mountains,It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,1
102,46,0.0,it is . baseball is played between 9 teams .,9,How many teams play baseball?,two,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,1
103,46,0.0,it is . baseball is played between 9 teams .,baseball,What sport is played between 9 teams?,[CLS],Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,1
104,47,-1.0,jimmy fallon is one of my favorite comedians .,NO_Q,NO_Q,NO_Q,"He is known for his work in television as a cast member on ""Saturday Night Live"" and as the host of late-night talk show ""The Tonight Show Starring Jimmy Fallon"" and before that ""Late Night with Jimmy Fallon"".",1
105,48,0.0,"no , they lost 101 games and never made the playoffs .",101,How many games did the Celtics lose?,359,"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",1
106,48,0.0,"no , they lost 101 games and never made the playoffs .",the playoffs,"Despite losing 101 games, they never made what?",[CLS],"In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.",1
107,49,0.0,"yes , it has been given to every country since 1930 .",1930,Since what year has it been given to every country?,[CLS],"The championship has been awarded every four years since the inaugural tournament in 1930, except in 1942 and 1946 when it was not held because of the Second World War.",1
108,50,0.0,i didn ' t know that ! it was first broadcast in 1966,1966,When was it first broadcast?,"september 30, 1960","It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.",1
109,51,0.0,"yes , she is . her first album was released in 2008 .",2008,When was her first album released?,[CLS],"Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".",1
110,52,1.0,"well xbox live has been around since 2006 , so it must be pretty popular now .",2006,Since what year has xbox live been around?,2006,It reached over 24 million units sold as of May 2006.,1
111,52,0.0,"well xbox live has been around since 2006 , so it must be pretty popular now .",xbox live,What game has been around since 2006?,[CLS],It reached over 24 million units sold as of May 2006.,1
112,53,1.0,"i ' m not sure , but i do know that wall street , which is eight blocks long , is a popular tourist attraction !",eight,How many blocks long is the wall street?,eight,"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.",1
113,53,1.0,"i ' m not sure , but i do know that wall street , which is eight blocks long , is a popular tourist attraction !",wall street,What is a popular tourist attraction?,wall street,"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.",1
114,53,0.0,"i ' m not sure , but i do know that wall street , which is eight blocks long , is a popular tourist attraction !",a popular tourist attraction,What is a wall street known for?,eight-block-long street,"Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.",1
115,54,1.0,they were bred from old english bulldogs and now they are extinct .,english,What breed of bulldogs were they bred from?,english,The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser which became extinct by crossbreeding rather than by a decadence of the breed.,1
116,55,0.0,"i am not sure about that , but the united kingdom emerged in 10th century",united kingdom,What country emerged in the 10th century?,denmark,The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,1
117,55,0.0,"i am not sure about that , but the united kingdom emerged in 10th century",10th century,When did the united kingdom emerge?,[CLS],The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,1
118,55,0.3333333333333333,"i am not sure about that , but the united kingdom emerged in 10th century",the united kingdom,What emerged in the 10th century?,the unified kingdom of denmark,The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,1
119,56,0.28571428571428575,"i ' ve never been to seattle , but i know it ' s on the east coast .",the east coast,Where is seattle located?,west coast of the united states,Seattle () is a seaport city on the west coast of the United States.,1
120,56,0.0,"i ' ve never been to seattle , but i know it ' s on the east coast .",seattle,What city is on the east coast?,[CLS],Seattle () is a seaport city on the west coast of the United States.,1
